Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
203325526,"Wings So Wicked (Golden City, #1)",Emily Blackwood,"Blackwood, Emily",,"=""""","=""""",0,3.75,,Kindle Edition,381,2024,,,2024/12/17,"to-read, dystopian-fantasy","to-read (#76), dystopian-fantasy (#35)",to-read,,,,0,0
210134467,"The Songbird & the Heart of Stone (Crowns of Nyaxia, #3)",Carissa Broadbent,"Broadbent, Carissa",,"=""""","=""""",0,4.08,Bramble Romance,Kindle Edition,498,2024,2024,,2024/12/17,"to-read, dystopian-fantasy","to-read (#75), dystopian-fantasy (#34)",to-read,,,,0,0
62335396,"The Ashes & the Star-Cursed King (Crowns of Nyaxia, #2)",Carissa Broadbent,"Broadbent, Carissa",,"=""""","=""""",0,4.10,,Kindle Edition,626,2023,2023,,2024/12/17,"to-read, dystopian-fantasy","to-read (#74), dystopian-fantasy (#33)",to-read,,,,0,0
60714999,"The Serpent and the Wings of Night (Crowns of Nyaxia, #1)",Carissa Broadbent,"Broadbent, Carissa",,"=""""","=""""",0,4.29,Independently Published,Kindle Edition,504,2022,2022,,2024/12/17,"to-read, dystopian-fantasy","to-read (#73), dystopian-fantasy (#32)",to-read,,,,0,0
214152364,Call Me Home: Poems,Harman Kaur,"Kaur, Harman",,"=""1771683996""","=""9781771683999""",0,4.33,Central Avenue Poetry,Paperback,128,2025,,,2024/12/14,to-read,to-read (#72),to-read,,,,0,0
43798285,The Institute,Stephen        King,"King, Stephen",,"=""""","=""""",4,4.20,Scribner,Hardcover,561,2019,2019,2024/12/12,2024/07/07,csi,csi (#9),read,,,,1,0
123429195,That's Not My Name,Megan Lally,"Lally, Megan",,"=""1728270111""","=""9781728270111""",0,4.06,Sourcebooks Fire,Paperback,297,2023,2023,,2024/12/10,"to-read, uneasy-feeling","to-read (#71), uneasy-feeling (#9)",to-read,,,,0,0
80830635,Don't Let Her Stay,Nicola Sanders,"Sanders, Nicola",,"=""""","=""""",0,3.95,,Kindle Edition,288,2023,2023,,2024/12/10,"to-read, uneasy-feeling","to-read (#70), uneasy-feeling (#8)",to-read,,,,0,0
203578793,"Spectacular (Caraval, #3.5)",Stephanie Garber,"Garber, Stephanie",Rosie Fowinkle,"=""1250893402""","=""9781250893406""",0,3.71,Flatiron Books,Hardcover,207,2024,2024,,2024/12/10,"to-read, dystopian-fantasy","to-read (#69), dystopian-fantasy (#29)",to-read,,,,0,0
40381392,"Finale (Caraval, #3)",Stephanie Garber,"Garber, Stephanie",,"=""1250157668""","=""9781250157669""",0,4.14,Flatiron Books,Hardcover,478,2019,2019,,2024/12/10,"to-read, dystopian-fantasy","to-read (#68), dystopian-fantasy (#28)",to-read,,,,0,0
36329818,"Legendary (Caraval, #2)",Stephanie Garber,"Garber, Stephanie",,"=""125009531X""","=""9781250095312""",0,4.12,Flatiron Books,Hardcover,451,2018,2018,,2024/12/10,"to-read, dystopian-fantasy","to-read (#67), dystopian-fantasy (#27)",to-read,,,,0,0
27883214,"Caraval (Caraval, #1)",Stephanie Garber,"Garber, Stephanie",,"=""1250095255""","=""9781250095251""",0,3.97,Flatiron Books,Hardcover,407,2017,2016,,2024/12/10,"to-read, dystopian-fantasy","to-read (#66), dystopian-fantasy (#26)",to-read,,,,0,0
26032912,"The Queen of Nothing (The Folk of the Air, #3)",Holly Black,"Black, Holly",,"=""0316310409""","=""9780316310406""",0,4.34,"Little, Brown",ebook,321,2019,2019,,2024/12/10,"to-read, dystopian-fantasy","to-read (#65), dystopian-fantasy (#24)",to-read,,,,0,0
26032887,"The Wicked King (The Folk of the Air, #2)",Holly Black,"Black, Holly",,"=""0316310336""","=""9780316310338""",0,4.28,"Little, Brown Books for Young Readers",ebook,336,2019,2019,,2024/12/10,"to-read, dystopian-fantasy","to-read (#64), dystopian-fantasy (#23)",to-read,,,,0,0
26032825,"The Cruel Prince (The Folk of the Air, #1)",Holly Black,"Black, Holly",,"=""0316310271""","=""9780316310277""",0,4.02,"Little, Brown Books for Young Readers",Hardcover,370,2018,2018,,2024/12/10,"to-read, dystopian-fantasy","to-read (#63), dystopian-fantasy (#22)",to-read,,,,0,0
59345249,The It Girl,Ruth Ware,"Ware, Ruth",,"=""1982155264""","=""9781982155261""",0,3.85,Scout Press,Hardcover,423,2022,2022,,2024/12/10,"to-read, csi","to-read (#62), csi (#30)",to-read,,,,0,0
61149872,The Inmate,Freida McFadden,"McFadden, Freida",,"=""""","=""""",0,4.03,Hollywood Upstairs Press ,Kindle Edition,388,2022,2022,,2024/12/10,"to-read, csi","to-read (#61), csi (#29)",to-read,,,,0,0
213855974,"Axiom II (Axiom, #2)",Madison    Rose,"Rose, Madison",,"=""9781763744""","=""9789781763748""",0,3.79,,Paperback,320,2024,2024,,2024/11/28,to-read,to-read (#60),to-read,,,,0,0
59651237,"Axiom (Axiom, #1)",Madison    Rose,"Rose, Madison",,"=""1914471067""","=""9781914471063""",0,3.41,The Book Guild Ltd,Paperback,296,2022,2022,,2024/11/28,to-read,to-read (#59),to-read,,,,0,0
13151,"London Bridges (Alex Cross, #10)",James  Patterson,"Patterson, James",,"=""0446613355""","=""9780446613354""",4,3.97,"Little, Brown and Company",Mass Market Paperback,403,2005,2004,2024/11/01,2024/07/07,,,read,,,,1,0
61431922,"Fourth Wing (The Empyrean, #1)",Rebecca Yarros,"Yarros, Rebecca",,"=""1649374046""","=""9781649374042""",5,4.58,Entangled: Red Tower Books,Hardcover,665,2023,2023,2024/10/07,2024/07/07,dystopian-fantasy,dystopian-fantasy (#14),read,,,,1,0
58536221,The Naturals / Killer Instinct / All In / Bad Blood,Jennifer Lynn Barnes,"Barnes, Jennifer Lynn",,"=""0316309028""","=""9780316309028""",0,4.64,"Little, Brown Books for Young Readers",Kindle Edition,1498,2021,,,2024/09/16,to-read,to-read (#58),to-read,,,,0,0
62804258,"The Brothers Hawthorne (The Inheritance Games, #4)",Jennifer Lynn Barnes,"Barnes, Jennifer Lynn",,"=""0316480770""","=""9780316480772""",3,3.91,"Little, Brown Books for Young Readers",Hardcover,480,2023,2023,2024/08/08,2024/07/31,,,read,,,,1,0
58658940,"The Final Gambit (The Inheritance Games, #3)",Jennifer Lynn Barnes,"Barnes, Jennifer Lynn",,"=""""","=""9780316371124""",5,4.11,"Little, Brown Books for Young Readers",Kindle Edition,400,2022,2022,2024/07/31,2024/07/28,,,read,,,,1,0
50531218,"The Hawthorne Legacy (The Inheritance Games, #2)",Jennifer Lynn Barnes,"Barnes, Jennifer Lynn",,"=""0241480744""","=""9780241480748""",4,4.19,Penguin,Hardcover,380,2021,2021,2024/07/28,2024/07/24,,,read,,,,1,0
52439531,"The Inheritance Games (The Inheritance Games, #1)",Jennifer Lynn Barnes,"Barnes, Jennifer Lynn",,"=""1368052401""","=""9781368052405""",4,4.14,"Little, Brown Books for Young Readers",Hardcover,386,2020,2020,2024/07/24,2024/07/22,dystopian-fantasy,dystopian-fantasy (#19),read,,,,1,0
45880884,"Weapon (Whisper, #2)",Lynette Noni,"Noni, Lynette",,"=""0648571599""","=""9780648571599""",4,4.20,Pantera Press,Paperback,407,2019,2019,2024/07/22,2024/07/19,dystopian-fantasy,dystopian-fantasy (#18),read,,,,1,0
56621648,You'd Be Home Now,Kathleen Glasgow,"Glasgow, Kathleen",,"=""0525708049""","=""9780525708049""",0,4.14,Delacorte Press,Hardcover,387,2021,2021,,2024/07/19,"to-read, life","to-read (#57), life (#11)",to-read,,,,0,0
6900,"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",Mitch Albom,"Albom, Mitch",,"=""""","=""""",0,4.19,Warner,Paperback,210,2000,1997,,2024/07/19,"to-read, life","to-read (#56), life (#10)",to-read,,,,0,0
36121086,Saving Noah,Lucinda Berry,"Berry, Lucinda",,"=""""","=""""",0,3.92,Rise Press,ebook,259,2017,2017,,2024/07/19,"to-read, uneasy-feeling","to-read (#55), uneasy-feeling (#7)",to-read,,,,0,0
62703226,The Only One Left,Riley Sager,"Sager, Riley",,"=""0593183223""","=""9780593183229""",0,4.14,Dutton,Hardcover,383,2023,2023,,2024/07/19,"to-read, uneasy-feeling, csi","to-read (#54), uneasy-feeling (#6), csi (#28)",to-read,,,,0,0
58784475,"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,"Zevin, Gabrielle",,"=""0735243344""","=""9780735243347""",0,4.13,Knopf,Hardcover,401,2022,2022,,2024/07/19,to-read,to-read (#53),to-read,,,,0,0
13456414,A Short Stay in Hell,Steven L. Peck,"Peck, Steven L.",,"=""098374842X""","=""9780983748427""",0,4.18,Strange Violin Editions,Paperback,110,2012,2011,,2024/07/19,"to-read, uneasy-feeling","to-read (#52), uneasy-feeling (#5)",to-read,,,,0,0
34496961,Saving Eden,Rachel McClellan,"McClellan, Rachel",,"=""""","=""""",0,4.25,,Kindle Edition,264,2017,,,2024/07/19,"to-read, dystopian-fantasy","to-read (#51), dystopian-fantasy (#17)",to-read,,,,0,0
30178369,Escape from Eden,Rachel McClellan,"McClellan, Rachel",,"=""""","=""""",0,4.19,Rachel McClellan,Kindle Edition,276,2016,,,2024/07/19,"to-read, dystopian-fantasy","to-read (#50), dystopian-fantasy (#16)",to-read,,,,0,0
29006680,"Escape to Eden (The Original, #1)",Rachel McClellan,"McClellan, Rachel",,"=""1462125875""","=""9781462125876""",0,3.96,Cedar Fort Publishing & Media,Kindle Edition,304,2016,2016,,2024/07/19,"to-read, dystopian-fantasy","to-read (#49), dystopian-fantasy (#15)",to-read,,,,0,0
8680278,We'll Always Have Summer (Summer #3),Jenny Han,"Han, Jenny",,"=""1416995587""","=""9781416995586""",4,3.78,Simon & Schuster Children's Publishing,Hardcover,291,2011,2011,2024/07/11,2024/07/07,,,read,,,,1,0
6584188,"It's Not Summer Without You (Summer, #2)",Jenny Han,"Han, Jenny",,"=""1416995552""","=""9781416995555""",4,3.76,Simon & Schuster Books for Young Readers,Hardcover,275,2010,2010,2024/07/11,2024/07/07,,,read,,,,1,0
5821978,"The Summer I Turned Pretty (Summer, #1)",Jenny Han,"Han, Jenny",,"=""1416968237""","=""9781416968238""",3,3.75,Simon & Schuster Books for Young Readers,Hardcover,276,2009,2009,2024/07/10,2024/07/07,,,read,,,,1,0
6588,"The Big Bad Wolf  (Alex Cross, #9)",James  Patterson,"Patterson, James",,"=""0446610224""","=""9780446610223""",4,4.04,Grand Central Publishing,Paperback,400,2004,2003,2024/06/24,2024/07/07,csi,csi (#27),read,,,,1,0
53625,"Four Blind Mice (Alex Cross, #8)",James  Patterson,"Patterson, James",,"=""0747266921""","=""9780747266921""",4,4.05,Headline Book Publishing,Paperback,416,2003,2002,2024/06/18,2024/07/07,csi,csi (#26),read,,,,1,0
79379,"Violets Are Blue (Alex Cross, #7)",James  Patterson,"Patterson, James",,"=""0446611212""","=""9780446611213""",5,4.01,Grand Central Publishing,Hardcover,391,2002,2001,2024/04/22,2024/07/07,csi,csi (#25),read,,,,1,0
79378,"Roses Are Red (Alex Cross, #6)",James  Patterson,"Patterson, James",,"=""0446605484""","=""9780446605489""",5,4.09,Warner Vision,Kindle Edition,416,2001,2000,2024/01/01,2024/07/07,csi,csi (#24),read,,,,1,0
